(P) TID: 136739238704832 | VALOR: R$  288 | ITERACAO:  1
(P) TID: 136739085612736 | VALOR: R$  564 | ITERACAO:  1
(P) TID: 136739230312128 | VALOR: R$  994 | ITERACAO:  1
(P) TID: 136739221919424 | VALOR: R$  162 | ITERACAO:  1
(P) TID: 136739142235840 | VALOR: R$  581 | ITERACAO:  1
(C) TID: 136739125450432 | MEDIA: R$  518 | ITERACAO:  1
(P) TID: 136739133843136 | VALOR: R$  691 | ITERACAO:  1
(C) TID: 136739117057728 | MEDIA: R$  598 | ITERACAO:  1
(P) TID: 136739085612736 | VALOR: R$  800 | ITERACAO:  2
(P) TID: 136739230312128 | VALOR: R$  129 | ITERACAO:  2
(C) TID: 136739117057728 | MEDIA: R$  473 | ITERACAO:  2
(P) TID: 136739142235840 | VALOR: R$   31 | ITERACAO:  2
(C) TID: 136739117057728 | MEDIA: R$  446 | ITERACAO:  3
(P) TID: 136739133843136 | VALOR: R$  302 | ITERACAO:  2
(C) TID: 136739125450432 | MEDIA: R$  391 | ITERACAO:  2
(P) TID: 136739238704832 | VALOR: R$  446 | ITERACAO:  2
(C) TID: 136739117057728 | MEDIA: R$  342 | ITERACAO:  4
(P) TID: 136739221919424 | VALOR: R$  777 | ITERACAO:  2
(C) TID: 136739125450432 | MEDIA: R$  337 | ITERACAO:  3
(P) TID: 136739230312128 | VALOR: R$  362 | ITERACAO:  3
(C) TID: 136739117057728 | MEDIA: R$  384 | ITERACAO:  5
(P) TID: 136739133843136 | VALOR: R$  969 | ITERACAO:  3
(C) TID: 136739125450432 | MEDIA: R$  571 | ITERACAO:  4
(P) TID: 136739133843136 | VALOR: R$  286 | ITERACAO:  4
(C) TID: 136739117057728 | MEDIA: R$  568 | ITERACAO:  6
(P) TID: 136739221919424 | VALOR: R$  586 | ITERACAO:  3
(C) TID: 136739125450432 | MEDIA: R$  596 | ITERACAO:  5
(P) TID: 136739142235840 | VALOR: R$  193 | ITERACAO:  3
(P) TID: 136739238704832 | VALOR: R$  799 | ITERACAO:  3
(C) TID: 136739125450432 | MEDIA: R$  567 | ITERACAO:  6
(P) TID: 136739133843136 | VALOR: R$  422 | ITERACAO:  5
(C) TID: 136739125450432 | MEDIA: R$  457 | ITERACAO:  7
(P) TID: 136739085612736 | VALOR: R$  308 | ITERACAO:  3
(P) TID: 136739238704832 | VALOR: R$  683 | ITERACAO:  4
(C) TID: 136739125450432 | MEDIA: R$  481 | ITERACAO:  8
(P) TID: 136739221919424 | VALOR: R$  350 | ITERACAO:  4
(C) TID: 136739117057728 | MEDIA: R$  512 | ITERACAO:  7
(P) TID: 136739133843136 | VALOR: R$  830 | ITERACAO:  6
(C) TID: 136739117057728 | MEDIA: R$  519 | ITERACAO:  8
(P) TID: 136739230312128 | VALOR: R$  751 | ITERACAO:  4
(C) TID: 136739125450432 | MEDIA: R$  584 | ITERACAO:  9
(P) TID: 136739142235840 | VALOR: R$  200 | ITERACAO:  4
(C) TID: 136739117057728 | MEDIA: R$  563 | ITERACAO:  9
(P) TID: 136739238704832 | VALOR: R$  291 | ITERACAO:  5
(C) TID: 136739125450432 | MEDIA: R$  484 | ITERACAO: 10
(P) TID: 136739085612736 | VALOR: R$   53 | ITERACAO:  4
(C) TID: 136739117057728 | MEDIA: R$  425 | ITERACAO: 10
(P) TID: 136739221919424 | VALOR: R$  453 | ITERACAO:  5
(P) TID: 136739133843136 | VALOR: R$  110 | ITERACAO:  7
(C) TID: 136739125450432 | MEDIA: R$  221 | ITERACAO: 11
(P) TID: 136739230312128 | VALOR: R$  643 | ITERACAO:  5
(C) TID: 136739117057728 | MEDIA: R$  310 | ITERACAO: 11
(P) TID: 136739238704832 | VALOR: R$  559 | ITERACAO:  6
(C) TID: 136739125450432 | MEDIA: R$  364 | ITERACAO: 12
(P) TID: 136739221919424 | VALOR: R$  580 | ITERACAO:  6
(C) TID: 136739117057728 | MEDIA: R$  469 | ITERACAO: 12
(P) TID: 136739085612736 | VALOR: R$  466 | ITERACAO:  5
(C) TID: 136739117057728 | MEDIA: R$  472 | ITERACAO: 13
(P) TID: 136739133843136 | VALOR: R$  521 | ITERACAO:  8
(C) TID: 136739117057728 | MEDIA: R$  554 | ITERACAO: 14
(P) TID: 136739142235840 | VALOR: R$  498 | ITERACAO:  5
(C) TID: 136739125450432 | MEDIA: R$  525 | ITERACAO: 13
(P) TID: 136739133843136 | VALOR: R$  628 | ITERACAO:  9
(C) TID: 136739117057728 | MEDIA: R$  539 | ITERACAO: 15
(P) TID: 136739230312128 | VALOR: R$  529 | ITERACAO:  6
(C) TID: 136739125450432 | MEDIA: R$  528 | ITERACAO: 14
(P) TID: 136739238704832 | VALOR: R$  366 | ITERACAO:  7
(C) TID: 136739117057728 | MEDIA: R$  508 | ITERACAO: 16
(P) TID: 136739221919424 | VALOR: R$  826 | ITERACAO:  7
(C) TID: 136739125450432 | MEDIA: R$  569 | ITERACAO: 15
(P) TID: 136739133843136 | VALOR: R$  218 | ITERACAO: 10
(C) TID: 136739117057728 | MEDIA: R$  513 | ITERACAO: 17
(P) TID: 136739142235840 | VALOR: R$  521 | ITERACAO:  6
(C) TID: 136739125450432 | MEDIA: R$  492 | ITERACAO: 16
(P) TID: 136739230312128 | VALOR: R$   21 | ITERACAO:  7
(C) TID: 136739125450432 | MEDIA: R$  390 | ITERACAO: 17
(P) TID: 136739085612736 | VALOR: R$  630 | ITERACAO:  6
(P) TID: 136739230312128 | VALOR: R$  474 | ITERACAO:  8
(C) TID: 136739125450432 | MEDIA: R$  373 | ITERACAO: 18
(P) TID: 136739238704832 | VALOR: R$  247 | ITERACAO:  8
(C) TID: 136739117057728 | MEDIA: R$  379 | ITERACAO: 18
(P) TID: 136739238704832 | VALOR: R$  485 | ITERACAO:  9
(C) TID: 136739125450432 | MEDIA: R$  371 | ITERACAO: 19
(P) TID: 136739221919424 | VALOR: R$  588 | ITERACAO:  8
(P) TID: 136739085612736 | VALOR: R$  623 | ITERACAO:  7
(C) TID: 136739117057728 | MEDIA: R$  483 | ITERACAO: 19
(P) TID: 136739221919424 | VALOR: R$  787 | ITERACAO:  9
(C) TID: 136739117057728 | MEDIA: R$  546 | ITERACAO: 20
(P) TID: 136739133843136 | VALOR: R$  257 | ITERACAO: 11
(C) TID: 136739117057728 | MEDIA: R$  548 | ITERACAO: 21
(P) TID: 136739238704832 | VALOR: R$  636 | ITERACAO: 10
(C) TID: 136739117057728 | MEDIA: R$  578 | ITERACAO: 22
(P) TID: 136739142235840 | VALOR: R$  168 | ITERACAO:  7
(C) TID: 136739125450432 | MEDIA: R$  494 | ITERACAO: 20
(P) TID: 136739230312128 | VALOR: R$  372 | ITERACAO:  9
(C) TID: 136739117057728 | MEDIA: R$  444 | ITERACAO: 23
(P) TID: 136739085612736 | VALOR: R$  561 | ITERACAO:  8
(C) TID: 136739125450432 | MEDIA: R$  399 | ITERACAO: 21
(P) TID: 136739238704832 | VALOR: R$  353 | ITERACAO: 11
(C) TID: 136739117057728 | MEDIA: R$  418 | ITERACAO: 24
(P) TID: 136739142235840 | VALOR: R$  926 | ITERACAO:  8
(C) TID: 136739125450432 | MEDIA: R$  476 | ITERACAO: 22
(P) TID: 136739133843136 | VALOR: R$  637 | ITERACAO: 12
(C) TID: 136739117057728 | MEDIA: R$  570 | ITERACAO: 25
(P) TID: 136739221919424 | VALOR: R$  635 | ITERACAO: 10
(C) TID: 136739125450432 | MEDIA: R$  622 | ITERACAO: 23
(P) TID: 136739238704832 | VALOR: R$  772 | ITERACAO: 12
(C) TID: 136739117057728 | MEDIA: R$  665 | ITERACAO: 26
(P) TID: 136739142235840 | VALOR: R$  356 | ITERACAO:  9
(C) TID: 136739125450432 | MEDIA: R$  665 | ITERACAO: 24
(P) TID: 136739133843136 | VALOR: R$  304 | ITERACAO: 13
(C) TID: 136739117057728 | MEDIA: R$  541 | ITERACAO: 27
(P) TID: 136739230312128 | VALOR: R$  526 | ITERACAO: 10
(C) TID: 136739125450432 | MEDIA: R$  519 | ITERACAO: 25
(P) TID: 136739085612736 | VALOR: R$  924 | ITERACAO:  9
(C) TID: 136739125450432 | MEDIA: R$  576 | ITERACAO: 26
(P) TID: 136739221919424 | VALOR: R$  954 | ITERACAO: 11
(C) TID: 136739125450432 | MEDIA: R$  613 | ITERACAO: 27
(P) TID: 136739133843136 | VALOR: R$  643 | ITERACAO: 14
(C) TID: 136739117057728 | MEDIA: R$  670 | ITERACAO: 28
(P) TID: 136739238704832 | VALOR: R$  698 | ITERACAO: 13
(C) TID: 136739125450432 | MEDIA: R$  749 | ITERACAO: 28
(P) TID: 136739133843136 | VALOR: R$  797 | ITERACAO: 15
(C) TID: 136739117057728 | MEDIA: R$  803 | ITERACAO: 29
(P) TID: 136739230312128 | VALOR: R$  519 | ITERACAO: 11
(P) TID: 136739085612736 | VALOR: R$  521 | ITERACAO: 10
(C) TID: 136739125450432 | MEDIA: R$  636 | ITERACAO: 29
(P) TID: 136739142235840 | VALOR: R$   70 | ITERACAO: 10
(C) TID: 136739125450432 | MEDIA: R$  521 | ITERACAO: 30
(P) TID: 136739238704832 | VALOR: R$  856 | ITERACAO: 14
(C) TID: 136739117057728 | MEDIA: R$  553 | ITERACAO: 30
(P) TID: 136739221919424 | VALOR: R$  326 | ITERACAO: 12
(C) TID: 136739125450432 | MEDIA: R$  458 | ITERACAO: 31
(P) TID: 136739142235840 | VALOR: R$  645 | ITERACAO: 11
(C) TID: 136739117057728 | MEDIA: R$  484 | ITERACAO: 31
(P) TID: 136739238704832 | VALOR: R$  461 | ITERACAO: 15
(C) TID: 136739125450432 | MEDIA: R$  472 | ITERACAO: 32
(P) TID: 136739142235840 | VALOR: R$  609 | ITERACAO: 12
(C) TID: 136739117057728 | MEDIA: R$  579 | ITERACAO: 32
(P) TID: 136739238704832 | VALOR: R$  785 | ITERACAO: 16
(C) TID: 136739125450432 | MEDIA: R$  565 | ITERACAO: 33
(P) TID: 136739230312128 | VALOR: R$  359 | ITERACAO: 12
(P) TID: 136739085612736 | VALOR: R$  507 | ITERACAO: 11
(C) TID: 136739117057728 | MEDIA: R$  544 | ITERACAO: 33
(P) TID: 136739133843136 | VALOR: R$  810 | ITERACAO: 16
